Mês/Ano;Estado;Qtd
jan/07;RO;0
fev/07;RO;1
mar/07;RO;3
abr/07;RO;1
mai/07;RO;1
jun/07;RO;1
jul/07;RO;1
ago/07;RO;1
set/07;RO;1
out/07;RO;5
nov/07;RO;0
dez/07;RO;1
jan/08;RO;1
fev/08;RO;2
mar/08;RO;7
abr/08;RO;3
mai/08;RO;3
jun/08;RO;3
jul/08;RO;1
ago/08;RO;0
set/08;RO;4
out/08;RO;1
nov/08;RO;2
dez/08;RO;1
jan/09;RO;1
fev/09;RO;4
mar/09;RO;3
abr/09;RO;0
mai/09;RO;5
jun/09;RO;2
jul/09;RO;4
ago/09;RO;7
set/09;RO;6
out/09;RO;9
nov/09;RO;1
dez/09;RO;3
jan/10;RO;1
fev/10;RO;3
mar/10;RO;2
abr/10;RO;3
mai/10;RO;3
jun/10;RO;0
jul/10;RO;2
ago/10;RO;0
set/10;RO;3
out/10;RO;2
nov/10;RO;4
dez/10;RO;2
jan/11;RO;1
fev/11;RO;2
mar/11;RO;3
abr/11;RO;7
mai/11;RO;4
jun/11;RO;4
jul/11;RO;4
ago/11;RO;4
set/11;RO;7
out/11;RO;11
nov/11;RO;6
dez/11;RO;3
jan/12;RO;2
fev/12;RO;2
mar/12;RO;2
abr/12;RO;9
mai/12;RO;6
jun/12;RO;3
jul/12;RO;6
ago/12;RO;9
set/12;RO;6
out/12;RO;5
nov/12;RO;7
dez/12;RO;4
jan/13;RO;4
fev/13;RO;7
mar/13;RO;1
abr/13;RO;6
mai/13;RO;7
jun/13;RO;4
jul/13;RO;5
ago/13;RO;3
set/13;RO;6
out/13;RO;7
nov/13;RO;7
dez/13;RO;3
jan/14;RO;5
fev/14;RO;9
mar/14;RO;5
abr/14;RO;2
mai/14;RO;5
jun/14;RO;3
jul/14;RO;3
ago/14;RO;6
set/14;RO;4
out/14;RO;4
nov/14;RO;6
dez/14;RO;5
jan/15;RO;9
fev/15;RO;7
mar/15;RO;6
abr/15;RO;2
mai/15;RO;4
jun/15;RO;5
jul/15;RO;2
ago/15;RO;13
set/15;RO;8
out/15;RO;12
nov/15;RO;6
dez/15;RO;8
jan/16;RO;7
fev/16;RO;10
mar/16;RO;10
abr/16;RO;10
mai/16;RO;2
jun/16;RO;12
jul/16;RO;6
ago/16;RO;10
set/16;RO;7
out/16;RO;11
nov/16;RO;10
dez/16;RO;10
jan/17;RO;10
fev/17;RO;9
mar/17;RO;4
abr/17;RO;3
mai/17;RO;12
jun/17;RO;18
jul/17;RO;11
ago/17;RO;18
set/17;RO;16
out/17;RO;26
nov/17;RO;24
dez/17;RO;8
jan/18;RO;17
fev/18;RO;14
mar/18;RO;11
abr/18;RO;24
mai/18;RO;19
jun/18;RO;19
jul/18;RO;16
ago/18;RO;24
set/18;RO;30
out/18;RO;18
nov/18;RO;27
dez/18;RO;26
jan/19;RO;27
fev/19;RO;25
mar/19;RO;25
abr/19;RO;25
mai/19;RO;42
jun/19;RO;47
jul/19;RO;40
ago/19;RO;42
set/19;RO;58
out/19;RO;38
nov/19;RO;40
dez/19;RO;15
jan/20;RO;0
fev/20;RO;0
mar/20;RO;0
abr/20;RO;0
mai/20;RO;0
jun/20;RO;0
jul/20;RO;0
ago/20;RO;0
set/20;RO;0
out/20;RO;0
nov/20;RO;0
dez/20;RO;0
jan/07;AC;0
fev/07;AC;0
mar/07;AC;0
abr/07;AC;0
mai/07;AC;0
jun/07;AC;0
jul/07;AC;0
ago/07;AC;0
set/07;AC;0
out/07;AC;0
nov/07;AC;0
dez/07;AC;0
jan/08;AC;0
fev/08;AC;0
mar/08;AC;0
abr/08;AC;0
mai/08;AC;0
jun/08;AC;0
jul/08;AC;0
ago/08;AC;0
set/08;AC;0
out/08;AC;0
nov/08;AC;0
dez/08;AC;0
jan/09;AC;0
fev/09;AC;0
mar/09;AC;0
abr/09;AC;0
mai/09;AC;0
jun/09;AC;0
jul/09;AC;0
ago/09;AC;0
set/09;AC;0
out/09;AC;0
nov/09;AC;-
dez/09;AC;-
jan/10;AC;0
fev/10;AC;0
mar/10;AC;0
abr/10;AC;0
mai/10;AC;0
jun/10;AC;0
jul/10;AC;1
ago/10;AC;0
set/10;AC;0
out/10;AC;0
nov/10;AC;0
dez/10;AC;0
jan/11;AC;0
fev/11;AC;0
mar/11;AC;0
abr/11;AC;1
mai/11;AC;0
jun/11;AC;0
jul/11;AC;0
ago/11;AC;0
set/11;AC;0
out/11;AC;0
nov/11;AC;0
dez/11;AC;0
jan/12;AC;0
fev/12;AC;0
mar/12;AC;0
abr/12;AC;0
mai/12;AC;1
jun/12;AC;0
jul/12;AC;0
ago/12;AC;0
set/12;AC;0
out/12;AC;0
nov/12;AC;0
dez/12;AC;0
jan/13;AC;0
fev/13;AC;0
mar/13;AC;0
abr/13;AC;0
mai/13;AC;0
jun/13;AC;0
jul/13;AC;0
ago/13;AC;0
set/13;AC;0
out/13;AC;0
nov/13;AC;0
dez/13;AC;0
jan/14;AC;0
fev/14;AC;0
mar/14;AC;1
abr/14;AC;0
mai/14;AC;0
jun/14;AC;0
jul/14;AC;0
ago/14;AC;0
set/14;AC;0
out/14;AC;0
nov/14;AC;0
dez/14;AC;0
jan/15;AC;0
fev/15;AC;0
mar/15;AC;2
abr/15;AC;0
mai/15;AC;1
jun/15;AC;0
jul/15;AC;0
ago/15;AC;2
set/15;AC;4
out/15;AC;3
nov/15;AC;6
dez/15;AC;5
jan/16;AC;3
fev/16;AC;10
mar/16;AC;5
abr/16;AC;4
mai/16;AC;1
jun/16;AC;3
jul/16;AC;4
ago/16;AC;3
set/16;AC;10
out/16;AC;3
nov/16;AC;3
dez/16;AC;3
jan/17;AC;6
fev/17;AC;8
mar/17;AC;4
abr/17;AC;2
mai/17;AC;3
jun/17;AC;7
jul/17;AC;9
ago/17;AC;16
set/17;AC;17
out/17;AC;22
nov/17;AC;12
dez/17;AC;14
jan/18;AC;16
fev/18;AC;11
mar/18;AC;14
abr/18;AC;12
mai/18;AC;18
jun/18;AC;14
jul/18;AC;15
ago/18;AC;14
set/18;AC;20
out/18;AC;21
nov/18;AC;9
dez/18;AC;13
jan/19;AC;22
fev/19;AC;9
mar/19;AC;7
abr/19;AC;21
mai/19;AC;30
jun/19;AC;22
jul/19;AC;22
ago/19;AC;12
set/19;AC;23
out/19;AC;28
nov/19;AC;22
dez/19;AC;21
jan/20;AC;10
fev/20;AC;11
mar/20;AC;16
abr/20;AC;2
mai/20;AC;0
jun/20;AC;0
jul/20;AC;0
ago/20;AC;0
set/20;AC;0
out/20;AC;0
nov/20;AC;0
dez/20;AC;0
jan/07;AM;0
fev/07;AM;0
mar/07;AM;0
abr/07;AM;0
mai/07;AM;0
jun/07;AM;0
jul/07;AM;0
ago/07;AM;0
set/07;AM;0
out/07;AM;0
nov/07;AM;0
dez/07;AM;0
jan/08;AM;0
fev/08;AM;0
mar/08;AM;0
abr/08;AM;0
mai/08;AM;0
jun/08;AM;0
jul/08;AM;1
ago/08;AM;0
set/08;AM;0
out/08;AM;0
nov/08;AM;0
dez/08;AM;0
jan/09;AM;0
fev/09;AM;0
mar/09;AM;0
abr/09;AM;0
mai/09;AM;0
jun/09;AM;0
jul/09;AM;0
ago/09;AM;0
set/09;AM;0
out/09;AM;0
nov/09;AM;1
dez/09;AM;0
jan/10;AM;2
fev/10;AM;3
mar/10;AM;3
abr/10;AM;2
mai/10;AM;1
jun/10;AM;0
jul/10;AM;3
ago/10;AM;0
set/10;AM;1
out/10;AM;2
nov/10;AM;2
dez/10;AM;1
jan/11;AM;2
fev/11;AM;0
mar/11;AM;0
abr/11;AM;0
mai/11;AM;0
jun/11;AM;1
jul/11;AM;3
ago/11;AM;2
set/11;AM;5
out/11;AM;1
nov/11;AM;1
dez/11;AM;1
jan/12;AM;2
fev/12;AM;6
mar/12;AM;7
abr/12;AM;5
mai/12;AM;7
jun/12;AM;1
jul/12;AM;6
ago/12;AM;8
set/12;AM;0
out/12;AM;5
nov/12;AM;2
dez/12;AM;3
jan/13;AM;3
fev/13;AM;4
mar/13;AM;9
abr/13;AM;6
mai/13;AM;9
jun/13;AM;13
jul/13;AM;10
ago/13;AM;3
set/13;AM;10
out/13;AM;4
nov/13;AM;9
dez/13;AM;12
jan/14;AM;10
fev/14;AM;12
mar/14;AM;16
abr/14;AM;6
mai/14;AM;12
jun/14;AM;7
jul/14;AM;14
ago/14;AM;9
set/14;AM;18
out/14;AM;9
nov/14;AM;14
dez/14;AM;4
jan/15;AM;11
fev/15;AM;14
mar/15;AM;18
abr/15;AM;15
mai/15;AM;23
jun/15;AM;21
jul/15;AM;6
ago/15;AM;21
set/15;AM;14
out/15;AM;18
nov/15;AM;22
dez/15;AM;16
jan/16;AM;15
fev/16;AM;13
mar/16;AM;23
abr/16;AM;15
mai/16;AM;16
jun/16;AM;16
jul/16;AM;21
ago/16;AM;14
set/16;AM;9
out/16;AM;10
nov/16;AM;15
dez/16;AM;7
jan/17;AM;14
fev/17;AM;9
mar/17;AM;10
abr/17;AM;5
mai/17;AM;8
jun/17;AM;5
jul/17;AM;15
ago/17;AM;11
set/17;AM;8
out/17;AM;13
nov/17;AM;8
dez/17;AM;5
jan/18;AM;12
fev/18;AM;7
mar/18;AM;11
abr/18;AM;8
mai/18;AM;10
jun/18;AM;6
jul/18;AM;6
ago/18;AM;10
set/18;AM;4
out/18;AM;15
nov/18;AM;16
dez/18;AM;14
jan/19;AM;17
fev/19;AM;11
mar/19;AM;17
abr/19;AM;28
