Unidade da Federação,Populacao Estimada 2019,Notificacoes,Notificacao / 100K hab,Renda Per Capita
Paraná,11433957,12182,106.5422933,1620.88
Espírito Santo,4018650,3998,99.48614584,1476.55
Distrito Federal,3015268,2745,91.03668397,2685.76
Santa Catarina,7164788,6103,85.1804687,1769.45
Minas Gerais,21168791,14036,66.30515649,1357.59
Pernambuco,9557071,6335,66.28599913,970.11
Roraima,605761,384,63.39133751,1043.94
Tocantins,1572866,991,63.00600305,1055.60
Mato Grosso do Sul,2778986,1668,60.02189288,1514.31
Alagoas,3337357,1969,58.99878257,730.86
São Paulo,45919049,23380,50.91568861,1945.73
Paraíba,4018127,1693,42.13405898,928.86
Rio Grande do Sul,11377239,4681,41.14354985,1842.98
Goiás,7018354,2873,40.9355242,1306.31
Piauí,3273227,1117,34.1253448,826.81
Rio Grande do Norte,3506853,1139,32.47926275,1056.59
Acre,881935,239,27.0995028,889.95
Ceará,9132078,2308,25.27354672,942.36
Rondônia,1777225,424,23.85741817,1136.48
Rio de Janeiro,17264943,3697,21.41333452,1881.57
Mato Grosso,3484466,653,18.74031774,1402.87
Sergipe,2298696,337,14.66048577,979.78
Bahia,14873064,2143,14.40859799,912.81
Maranhão,7075181,557,7.872590115,635.59
Amazonas,4144597,225,5.428754593,842.08
Amapá,845731,44,5.202599881,879.67
Pará,8602865,272,3.161737398,806.76
