Ano;Agente TÛxico;Estado;Quantidade
2007;Ign/Branco;RO;59
2007;Medicamento;RO;16
2007;AgrotÛxico agrÌcola;RO;46
2007;AgrotÛxico domÈstico;RO;8
2007;AgrotÛxico sa˙de p˙blica;RO;0
2007;Raticida;RO;11
2007;Prod. veterin·rio;RO;8
2007;Prod. uso domiciliar;RO;8
2007;CosmÈtico;RO;1
2007;Prod. quÌmico;RO;6
2007;Metal;RO;0
2007;Drogas de abuso;RO;0
2007;Planta tÛxica;RO;3
2007;Alimento e bebida;RO;5
2007;Outro;RO;4
2007;Ign/Branco;AM;6
2007;Medicamento;AM;0
2007;AgrotÛxico agrÌcola;AM;0
2007;AgrotÛxico domÈstico;AM;1
2007;AgrotÛxico sa˙de p˙blica;AM;0
2007;Raticida;AM;2
2007;Prod. veterin·rio;AM;0
2007;Prod. uso domiciliar;AM;12
2007;CosmÈtico;AM;0
2007;Prod. quÌmico;AM;0
2007;Metal;AM;0
2007;Drogas de abuso;AM;0
2007;Planta tÛxica;AM;0
2007;Alimento e bebida;AM;0
2007;Outro;AM;2
2007;Ign/Branco;RR;1
2007;Medicamento;RR;8
2007;AgrotÛxico agrÌcola;RR;0
2007;AgrotÛxico domÈstico;RR;1
2007;AgrotÛxico sa˙de p˙blica;RR;0
2007;Raticida;RR;4
2007;Prod. veterin·rio;RR;1
2007;Prod. uso domiciliar;RR;4
2007;CosmÈtico;RR;3
2007;Prod. quÌmico;RR;2
2007;Metal;RR;0
2007;Drogas de abuso;RR;1
2007;Planta tÛxica;RR;5
2007;Alimento e bebida;RR;1
2007;Outro;RR;6
2007;Ign/Branco;PA;6
2007;Medicamento;PA;0
2007;AgrotÛxico agrÌcola;PA;6
2007;AgrotÛxico domÈstico;PA;0
2007;AgrotÛxico sa˙de p˙blica;PA;0
2007;Raticida;PA;2
2007;Prod. veterin·rio;PA;0
2007;Prod. uso domiciliar;PA;0
2007;CosmÈtico;PA;0
2007;Prod. quÌmico;PA;0
2007;Metal;PA;0
2007;Drogas de abuso;PA;0
2007;Planta tÛxica;PA;0
2007;Alimento e bebida;PA;1
2007;Outro;PA;0
2007;Ign/Branco;TO;72
2007;Medicamento;TO;61
2007;AgrotÛxico agrÌcola;TO;12
2007;AgrotÛxico domÈstico;TO;10
2007;AgrotÛxico sa˙de p˙blica;TO;20
2007;Raticida;TO;36
2007;Prod. veterin·rio;TO;11
2007;Prod. uso domiciliar;TO;15
2007;CosmÈtico;TO;2
2007;Prod. quÌmico;TO;7
2007;Metal;TO;0
2007;Drogas de abuso;TO;0
2007;Planta tÛxica;TO;7
2007;Alimento e bebida;TO;23
2007;Outro;TO;9
2007;Ign/Branco;MA;18
2007;Medicamento;MA;10
2007;AgrotÛxico agrÌcola;MA;8
2007;AgrotÛxico domÈstico;MA;0
2007;AgrotÛxico sa˙de p˙blica;MA;0
2007;Raticida;MA;9
2007;Prod. veterin·rio;MA;1
2007;Prod. uso domiciliar;MA;2
2007;CosmÈtico;MA;1
2007;Prod. quÌmico;MA;2
2007;Metal;MA;0
2007;Drogas de abuso;MA;0
2007;Planta tÛxica;MA;1
2007;Alimento e bebida;MA;3
2007;Outro;MA;4
2007;Ign/Branco;PI;23
2007;Medicamento;PI;20
2007;AgrotÛxico agrÌcola;PI;24
2007;AgrotÛxico domÈstico;PI;1
2007;AgrotÛxico sa˙de p˙blica;PI;0
2007;Raticida;PI;6
2007;Prod. veterin·rio;PI;1
2007;Prod. uso domiciliar;PI;6
2007;CosmÈtico;PI;1
2007;Prod. quÌmico;PI;1
2007;Metal;PI;0
2007;Drogas de abuso;PI;1
2007;Planta tÛxica;PI;2
2007;Alimento e bebida;PI;9
2007;Outro;PI;4
2007;Ign/Branco;CE;71
2007;Medicamento;CE;179
2007;AgrotÛxico agrÌcola;CE;81
2007;AgrotÛxico domÈstico;CE;2
2007;AgrotÛxico sa˙de p˙blica;CE;0
2007;Raticida;CE;68
2007;Prod. veterin·rio;CE;5
2007;Prod. uso domiciliar;CE;38
2007;CosmÈtico;CE;8
2007;Prod. quÌmico;CE;18
2007;Metal;CE;0
2007;Drogas de abuso;CE;29
2007;Planta tÛxica;CE;1
2007;Alimento e bebida;CE;174
2007;Outro;CE;7
2007;Ign/Branco;RN;20
2007;Medicamento;RN;7
2007;AgrotÛxico agrÌcola;RN;0
2007;AgrotÛxico domÈstico;RN;0
2007;AgrotÛxico sa˙de p˙blica;RN;1
2007;Raticida;RN;2
2007;Prod. veterin·rio;RN;0
2007;Prod. uso domiciliar;RN;1
2007;CosmÈtico;RN;0
2007;Prod. quÌmico;RN;2
2007;Metal;RN;0
2007;Drogas de abuso;RN;0
2007;Planta tÛxica;RN;1
2007;Alimento e bebida;RN;3
2007;Outro;RN;0
2007;Ign/Branco;PB;34
2007;Medicamento;PB;6
2007;AgrotÛxico agrÌcola;PB;0
2007;AgrotÛxico domÈstico;PB;0
2007;AgrotÛxico sa˙de p˙blica;PB;23
2007;Raticida;PB;0
2007;Prod. veterin·rio;PB;0
2007;Prod. uso domiciliar;PB;0
2007;CosmÈtico;PB;0
2007;Prod. quÌmico;PB;0
2007;Metal;PB;1
2007;Drogas de abuso;PB;0
2007;Planta tÛxica;PB;0
2007;Alimento e bebida;PB;3
2007;Outro;PB;0
2007;Ign/Branco;PE;350
2007;Medicamento;PE;882
2007;AgrotÛxico agrÌcola;PE;271
2007;AgrotÛxico domÈstico;PE;39
2007;AgrotÛxico sa˙de p˙blica;PE;1
2007;Raticida;PE;256
2007;Prod. veterin·rio;PE;10
2007;Prod. uso domiciliar;PE;128
2007;CosmÈtico;PE;10
2007;Prod. quÌmico;PE;89
2007;Metal;PE;1
2007;Drogas de abuso;PE;62
2007;Planta tÛxica;PE;13
2007;Alimento e bebida;PE;304
2007;Outro;PE;107
